;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference;AcceptedSpecies
881;0;Africa;Phycita diaphana;Oceanina;2015;Zilli, A. and Pavesi, F. (2015). new or little known Pyraloids from Italy (Lepidoptera: Pyraloidea). Phegea. 43(3): 81-96;Phycita diaphana
882;0;North America;Spodoptera frugiperda;Panamanian;2023;Tay, W., Meagher Jr, R., Czepak, C. and Groot, A. (2023). Spodoptera frugiperda: ecology, evolution, and management options of an invasive species. Annual Review of Entomology. 68(1): 299-317;Spodoptera frugiperda
883;0;Oceania;Badamia exclamationis;Oceanina;2017;Buden, D. and Tennent, W. (2017). New records of butterflies (Lepidoptera) from the Federated States of Micronesia with remarks on geographic variation in Hypolimnas bolina (Linnaeus). Pacific Science, 71(1): 83-90;Badamia exclamationis
884;0;Oceania;Tiracola plagiata;Oceanina;1980;Mandal, D. and Shukla, J. (1980). Redescription of the Genus and Species Tiracola plagiata (Walker)[Lepidoptera: Noctuidae]. Records of the Zoological Survey of India, 76: 87-92;Tiracola plagiata
885;0;Oceania;Erechthias pelotricha;Oceanina;1971;Clarke, J, (1971). The Lepidoptera of Rapa Island. Smithsonian Contributions to Zoology. 56: 1-282;Erechthias pelotricha
886;0;Oceania;Ctenoplusia albostriata;Oceanina;1985;Holloway, J. (1985). Moths of Borneo 14. Family Noctuidae. Subfamily: Euteliinae, Stictopterinae, Plusinae, Pantheinae. Malayan Nature Journal. Available at: https://www.mothsofborneo.com/part-14/index.htm;Ctenoplusia albostriata
887;0;Oceania;Achroia grisella;Oceanina;1996;Clarke, J. (1986): Pyralidae and Microlepidoptera of the Marquesas Archipelago. Smithsonian Contributions to Zoology. 416: 1-485;Achroia grisella
888;0;Oceania;Hypsipyla grandella;Oceanina;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;Hypsipyla grandella
889;0;Oceania;Amyna axis;Oceanina;1999;Barnett, L., Emms, C. and Holloway, J. (1999). The moths of the Chagos Archipelago with notes on their biogeography. Journal of Natural History. 33(7): 1021–1038;Amyna axis
890;0;Oceania;Amyna natalis;Oceanina;2009;Holloway, J. (2009) Moths of Borneo 13. Family Noctuidae, subfamilies Pantheinae (part), Bagisarinae, Acontiinae, Aediinae, Eustrotiinae, Bryophilinae, Araeopteroinae, Aventiinae, Eublemminae and further miscellaneous genera. Malayan Nature Journal. 62 (1) : 1-240;Amyna natalis
891;0;Oceania;Chrysodeixis eriosoma;Oceanina;1979;Roberts, L. (1979). Biology of Chrysodeixis eriosoma (Lepidoptera: Noctuidae) in New Zealand. New Zealand Entomologist. 7(1): 52-58;Chrysodeixis eriosoma
892;0;Oceania;Assara seminivale;Oceanina;2024;Austin, K. and Rubinoff, D. (2024). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2023. British Museum Occasional Papers. 156: 111-121;Assara seminivale
893;0;Oceania;Autosticha pelodes;Oceanina;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part II. The University Press of Hawaii, Honolulu.;Autosticha pelodes
894;0;Oceania;Tiracola plagiata;Oceanina;2024;Holloway, J. (2024). Moths of Borneo 12. Family Notuidae, Trifine. Subfamilies: Noctuinae, Heliothinae, Hadeninae, Acronictinae, Amphipyrinae, Agaristinae. Southdene Sdn. Available at: https://www.mothsofborneo.com/part-12/index.htm;Tiracola plagiata
895;0;Oceania;Anomis privata;Oceanina;1996;Kononenko, V., Ahn, S. and Ronkay, L. (1998). Illustrated catalogue of Noctuidae in Korea (Lepidoptera). Insect of Korea. Series 3. Korea Research Institute of Bioscience and Biotechnology : Center for Insect Systematics;Anomis privata
896;0;Europe;Etainia sericopeza;Palearctic;2012;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham.;Etainia sericopeza
897;0;Europe;Argyresthia laevigatella;Palearctic;1969;Moriuti, S. (1969). Argyresthiidae (Lepidoptera) of Japan. Bulletin of the University of Osaka Prefecture. 1-50;Argyresthia laevigatella
898;0;Europe;Deilephila elpenor;Palearctic;2013;Hanif, H., Khan, S., Khan, M. and Raza, M. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13;Deilephila elpenor
899;0;Europe;Phyllonorycter geniculella;Palearctic;2012;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham.;Phyllonorycter geniculella
900;0;Europe;Phyllonorycter strigulatella;Palearctic;2012;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham.;Phyllonorycter strigulatella
901;0;Europe;Thera britannica;Palearctic;2023;Boyes, D. and Holland, P. (2023). The genome sequence of the spruce carpet moth, Thera britannica (Turner, 1925). Wellcome Open Research. 8: 114;Thera britannica
902;0;Europe;Stigmella pyri;Palearctic;2012;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham.;Stigmella pyri
903;0;Europe;Stigmella speciosa;Palearctic;2012;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham.;Stigmella speciosa
904;0;Europe;Lateroligia ophiogramma;Palearctic;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7:102-104;Lateroligia ophiogramma
905;0;Europe;Aglossa dimidiatus;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro;Aglossa dimidiatus
906;0;Europe;Yponomeuta cagnagellus;Palearctic;1987;Hoebeke, E. (1987). Yponomeuta cagnagella (Lepidoptera: Yponomeutidae): A palearctic ermine moth in the United States, with notes on its recognition, seasonal history, and habits. Annals of the Entomological Society of America. 80(4): 462-467;Yponomeuta cagnagellus
907;0;Europe;Coleophora striatipennella;Palearctic;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;Coleophora striatipennella
908;0;Europe;Carcina quercana;Palearctic;1985;Meyrick, E. (1895). A Handbook of British Lepidoptera. Macmillan and Co. United Kingdom, London. 843pp;Carcina quercana
909;0;Europe;Cerapteryx graminis;Palearctic;1979;Morris, R. (1979). A review of the life history, population levels, and spread of the Antler moth, Cerapteryx graminis (Lepidoptera: Noctuidae), in Newfoundland. The Canadian Entomologist. 111(8): 933-938;Cerapteryx graminis
