RecordID;SpeciesID;Species;AreaID;AreaName;RealmID;Realm;Cryptogenic;IntentionalRelease;Introduced;Dispersal;Established;Eradicated;Year;ReferenceID;BibliographicReference
REC74;SP15;Acleris variegana;USA.1_1;United States;RLM9;Nearctic;0.0;0.0;;;1.0;0.0;;REF1195;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061
REC75;SP15;Acleris variegana;PRT.1_1;Portugal;RLM11;Palearctic;0.0;0.0;1.0;;1.0;0.0;;REF683;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
REC76;SP15;Acleris variegana;CAN.1_1;Canada;RLM9;Nearctic;0.0;0.0;1.0;;1.0;0.0;1922.0;REF891;Pohl, G. et al. (2015). Checklist of the Lepidoptera of British Columbia, Canada. Entomological Society of British Columbia Occasional Paper. 3: 1-237
REC77;SP15;Acleris variegana;CAN.1_1;Canada;RLM9;Nearctic;0.0;0.0;1.0;;1.0;0.0;1920.0;REF1002;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
REC78;SP15;Acleris variegana;USA.1_1;United States;RLM9;Nearctic;0.0;0.0;1.0;0.0;1.0;0.0;1917.0;REF1002;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
REC79;SP16;Acleris zimmermani;USA.2_1;Hawaii;RLM9;Nearctic;;;1.0;;1.0;0.0;;REF697;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw
REC80;SP16;Acleris zimmermani;USA.2_1;Hawaii;RLM9;Nearctic;;1.0;1.0;;1.0;0.0;1963.0;REF1096;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
REC81;SP16;Acleris zimmermani;USA.2_1;Hawaii;RLM9;Nearctic;0.0;1.0;1.0;;1.0;0.0;1964.0;REF1007;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99
REC82;SP16;Acleris zimmermani;USA.2_1;Hawaii;RLM9;Nearctic;0.0;1.0;;;1.0;0.0;;REF1195;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061
REC83;SP16;Acleris zimmermani;USA.2_1;Hawaii;RLM9;Nearctic;0.0;1.0;;;1.0;;;REF47;Austin, K., Rubinoff, D. (2022). Eleven new records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaii Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers, 142, 49-74
REC84;SP17;Acontia candefacta;RUS.1_2;Russia Asia;RLM11;Palearctic;0.0;1.0;1.0;;0.0;0.0;1985.0;REF987;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142
REC85;SP17;Acontia candefacta;ROU.1_1;Romania;RLM11;Palearctic;;;1.0;;1.0;0.0;;REF542;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org
