Species;Continent;Realm;BibliographicReference;ReferenceYear
Acrolepia assectella;Europe;Palearctic;Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353;2007.0
Acrolepia jaspidata;South America;Neotropical;Gaedike, R. (2016). New and poorly known Acrolepiinae from the Palaearctic, Afrotropical, Neotropical and Oriental regions (Lepidoptera: Glyphipterigidae). Contributions to Entomology. 66(2): 257-264;2016.0
Acrolepiopsis sapporensis;Asia;Palearctic;Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353;2007.0
Acrolepiopsis sapporensis;Asia;Sino-Japanese;Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353;2007.0
Acrolepiopsis sapporensis;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Actias selene;Asia;Oriental;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213;2007.0
Actias selene;Asia;Oriental;Chutia, B. et al. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland, India. Environment Conservation Journal. 17(1): 41-45;2016.0
Actias selene;Asia;Palearctic;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213;2007.0
Actias selene;Asia;Saharo-Arabian;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213;2007.0
Actias selene;Asia;Sino-Japanese;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213;2007.0
Actias selene;Asia;Sino-Japanese;Chutia, B. et al. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland, India. Environment Conservation Journal. 17(1): 41-45;2016.0
Adoxophyes privatana;Asia;Oriental;Lok, A. et al. (2012). The Native Fauna of the Native Garden at Hortpark: Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies. Raffles Museum of Biodiversity Research, National University of Singapore and Centre for Urban Greenery and Ecology, National Parks Board. Singapore;2012.0
Adoxophyes privatana;Asia;Sino-Japanese;Lok, A. et al. (2012). The Native Fauna of the Native Garden at Hortpark: Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies. Raffles Museum of Biodiversity Research, National University of Singapore and Centre for Urban Greenery and Ecology, National Parks Board. Singapore;2012.0
Aethes rubiginana;Europe;Palearctic;Trematerra, P., Jel, J. (2003). Aethes rubiginana (Walsingham, 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer, 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110;2003.0
Aethes rubiginana;Africa;Saharo-Arabian;Trematerra, P., Jel, J. (2003). Aethes rubiginana (Walsingham, 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer, 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110;2003.0
Agapeta zoegana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Anatrachyntis rileyi;Africa;Afrotropical;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Anatrachyntis rileyi;Australia;Australian;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Agassiziella angulipennis;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agassiziella angulipennis;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agathodes designalis;North America;Nearctic;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617;2018.0
Agathodes designalis;South America;Neotropical;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617;2018.0
Agathodes designalis;South America;Panamanian;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617;2018.0
Agathodes designalis;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Agathodes designalis;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Aglais io;Europe;Palearctic;Nazari, V. et al. (2018). The European Peacock butterfly, Aglais io (Linnaeus, 1758) in North America (Lepidoptera: Nymphalidae). News of The Lepidopterists Society. 60(3): 128-129;2018.0
Aglais io;Asia;Palearctic;Nazari, V. et al. (2018). The European Peacock butterfly, Aglais io (Linnaeus, 1758) in North America (Lepidoptera: Nymphalidae). News of The Lepidopterists Society. 60(3): 128-129;2018.0
Anatrachyntis rileyi;Europe;Palearctic;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Apomyelois ceratoniae;Asia;Palearctic;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Apomyelois ceratoniae;Asia;Saharo-Arabian;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Archips fuscocupreanus;Asia;Palearctic;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0
Aglossa caprealis;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
