Reference;Title;CrossRef
Griffin, B., Chandler, J., Andersen, J., Havill, N. and Elkinton, J. (2020). The Reliability of Genitalia Morphology to Monitor the Spread of the Invasive Winter Moth (Lepidoptera: Geometridae) in Eastern North America. Environmental Entomology. 49(6): 1492-1498;The Reliability of Genitalia Morphology to Monitor the Spread of the Invasive Winter Moth (Lepidoptera Geometridae) in Eastern North America;Griffin, B., Chandler, J., Andersen, J., Havill, N., Elkinton, J. (2020). The Reliability of Genitalia Morphology to Monitor the Spread of the Invasive Winter Moth (Lepidoptera Geometridae) in Eastern North America. Environmental Entomology, 49, 1492-1498
Maier, C. (2001).  Exotic lepidopteran leafminers in North American apple orchards: rise to prominence, management, and future threats. Biological Invasions. 3: 283-293;Exotic lepidopteran leafminers in North American apple orchards rise to prominence, management, and future threats;Maier, C. (2001). Exotic Lepidopteran Leafminers in North American Apple Orchards Rise to Prominence, Management, and Future Threats. Biological Invasions, 3, 283-293
Aurelian, V., Evenden, M. and Judd, G. (2012). Small-plot studies comparing pheromone and juice baits for mass-trapping invasive Synanthedon myopaeformis in Canada. Entomologia Experimentalis et Applicata. 145: 102-114;Small-plot studies comparing pheromone and juice baits for mass-trapping invasive Synanthedon myopaeformis in Canada;Marius Aurelian, V., Evenden, M., Judd, G. (2012). Smallplot studies comparing pheromone and juice baits for masstrapping invasive iscpSscpynanthedon myopaeformisi in scpCscpanada. Entomologia Experimentalis et Applicata, 145, 102-114
National Plant Protection Organizations within the NAPPO region (2022). Report of carnation tortrix (Cacoecimorpha pronubana) in British Columbia, Canada (2022) / Rapport sur la presence de la tordeuse mediterraenne de loeillet (Cacoecimorpha pronubana) en Colombie-Britannique, Canada (2022). Available Online at: https://www.pestalerts.org/nappo/official-pest-reports/1032/;Report of carnation tortrix (Cacoecimorpha pronubana) in British Columbia, Canada (2022)  Rapport sur la presence de la tordeuse mediterraenne de loeillet (Cacoecimorpha pronubana) en Colombie-Britannique, Canada (2022);Unknown Author (2022). Cacoecimorpha pronubana (carnation tortrix). PlantwisePlus Knowledge Bank, Species Pages, 
Mori, B., Davis, C. and Evenden, M. (2016). Genetic diversity and population structure identify the potential source of the invasive red clover casebearer moth, Coleophora deauratella, in North America. Biological Invasions. 18: 3595-3609;Genetic diversity and population structure identify the potential source of the invasive red clover casebearer moth, Coleophora deauratella, in North America;Mori, B., Davis, C., Evenden, M. (2016). Genetic diversity and population structure identify the potential source of the invasive red clover casebearer moth, Coleophora deauratella, in North America. Biological Invasions, 18, 3595-3609
Tanigoshi, L. and Stary, P. (2003). Distribution, habitats and host plants of the cherry bark tortrix, Enarmonia formosana (Scopoli) in the Czech Republic (Lepidoptera, Tortricidae). Journal of Pest Science. 76: 41-43;Distribution, habitats and host plants of the cherry bark tortrix, Enarmonia formosana (Scopoli) in the Czech Republic (Lepidoptera, Tortricidae);Tanigoshi, L., Star, P. (2003). Distribution, habitats and host plants of the cherry bark tortrix, iEnarmonia formosanai (Scopoli) in the Czech Republic (Lepidoptera, Tortricidae). Anzeiger fr Schdlingskunde, 76, 41-43
Covell Jr., C., Ferguson, D. and Straley, G. (1986). Ennomos alniaria (Lepidoptera: Geometridae), a European Moth Recently Discovered in British Columbia. The Canadian Entomologist. 118(5): 499-501;Ennomos alniaria (Lepidoptera Geometridae), a European Moth Recently Discovered in British Columbia;Covell, C., Ferguson, D., Straley, G. (1986). iENNOMOS ALNIARIAi (LEPIDOPTERA GEOMETRIDAE), A EUROPEAN MOTH RECENTLY DISCOVERED IN BRITISH COLUMBIA. The Canadian Entomologist, 118, 499-501
Kirichenko, N., Triberti, P., Akulov, E., Ponomarenko, M. and Lopez-Vaamonde, C. (2019). Novel Data on the Taxonomic Diversity, Distribution, and Host Plants of Leafmining Moths of the Family Gracillariidae (Lepidoptera) in Siberia, Based on DNA Barcoding. Entomological Review. 99(6): 796-819;Novel Data on the Taxonomic Diversity, Distribution, and Host Plants of Leafmining Moths of the Family Gracillariidae (Lepidoptera) in Siberia, Based on DNA Barcoding;Kirichenko, N., Triberti, P., Akulov, E., Ponomarenko, M., Lopez-Vaamonde, C. (2019). Novel Data on the Taxonomic Diversity, Distribution, and Host Plants of Leafmining Moths of the Family Gracillariidae (Lepidoptera) in Siberia, Based on DNA Barcoding. Entomological Review, 99, 796-819
Suckling, D. and Brockerhoff, E. (2010). Invasion Biology, Ecology, and Management of the Light Brown Apple Moth (Tortricidae). Annual Review of Entomology. 55: 285-306;Invasion Biology, Ecology, and Management of the Light Brown Apple Moth (Tortricidae);Suckling, D., Brockerhoff, E. (2010). Invasion Biology, Ecology, and Management of the Light Brown Apple Moth (Tortricidae). Annual Review of Entomology, 55, 285-306
Ryan, S., Lombaert, E., Espeset, A., Vila, R., Talavera, G., Dinca, V., Doellman, M., Renshaw, M., Eng, M., Hornett, E., Li, Y., Pfrender, M. and Shoemaker, D. (2019). Global invasion history of the agricultural pest butterfly Pieris rapae revealed with genomics and citizen science. PNAS. 116(40): 20015-20024;Global invasion history of the agricultural pest butterfly Pieris rapae revealed with genomics and citizen science;Ryan, S., Lombaert, E., Espeset, A., Vila, R., Talavera, G., Dinc, V., Doellman, M., Renshaw, M., Eng, M., Hornett, E., Li, Y., Pfrender, M., Shoemaker, D. (2019). Global invasion history of the agricultural pest butterfly            iPieris rapaei            revealed with genomics and citizen science. Proceedings of the National Academy of Sciences, 116, 20015-20024
