ReferenceID,BibliographicReference,ReferenceYear
REF76,"""Heinrich C. (1956). Checklist of American Phycitinae. Bulletin of the United States National Museum. 207: 316-329""",1956.0
REF77,"""i Admetlla J. et al. (1986). El genera Apamea O. 1816 a Catalunya (Lepidoptera Noctuidae Amphipyrinae)(1 part). Miscellania Zoologica. 199-203""",1986.0
REF78,"""Gyulai P. et al. (2011) New Noctuidae species from China and the Himalayas (Lepidoptera Noctuoidea). Esperiana. 16: 166-197""",2011.0
REF79,"""Guerrero J. et al. (2020). Contribucion al conocimiento de los Noctuidae de la vertiente asturiana del Parque Nacional de los Picos de Europa (Asturias Espana)(Insecta: Lepidoptera). SHILAP Revista de lepidopterologia. 48(189): 5-26""",2020.0
REF80,"""Donald J. (1994). Apamea unamis (Hubner) (Noctuidae: Amphipyrinae). Journal of the Lepidopterists Society. 48(2): 121-127""",1994.0
REF81,"""Moore F. Swinhoe C. (1911). Lepidoptera Indica - Volume IX - Rhopalocera. Lovell Reeve and Co. Limited. United Kingdom London""",1911.0
REF82,"""Warren A. Calhoun J. (2011). Notes on the historical occurrence of Aphrissa neleis in southern Florida USA (Lepidoptera: Pieridae: Coliadinae). News of the Lepidopterists Society. 53(1): 3-7""",2011.0
REF83,"""Boyes D. et al. (2022). The genome sequence of the lesser treble-bar moth Aplocera efformata (Guenee 1857). Wellcome Open Research. 7: 303""",2022.0
REF84,"""Hausmann A. Viidalepp J. (2012). The Geometrid Moths of Europe Volume: 3 - Larentinae I. Apollo Books""",2012.0
REF85,"""Amer A. (2013). Catocalinae Of Egypt (Lepidoptera Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16""",2013.0
REF86,"""Baron T. (2014). Collection records of Noctuoidea and Bombycoidea (Lepidoptera) from a location near Marmaris in South-Western Anatolia Turkey. Esperiana Band. 19: 263-296""",2014.0
REF87,"""Al Haidar I. et al. (2017). Species diversity and habitat preference of butterflies (Insecta: Lepidoptera) in Inani Reserve Forest of Cox s Bazar Bangladesh. Journal of Insect Biodiversity and Systematics. 3(1): 47-67""",2017.0
REF88,"""Varshney R. Smetacek P. (Eds.). (2015). A synoptic catalogue of the butterflies of India. Butterfly Research Centre Bhimtal and Indinov Publishing. New Delhi India""",2015.0
REF89,"""Hardy P. Lawrence J. (2017). Field guide to butterflies of the Philippines. Siri Scientific Press""",2017.0
REF90,"""Shanower T. et al. (1993). Biology and control of the groundnut leafminer Aproaerema modicella (Deventer)(Lepidoptera: Gelechiidae). Crop Protection. 12(1): 3-10""",1993.0
REF91,"""Junnilainen J. et al. (2010). The gelechiid fauna of the southern Ural Mountains part II: list of recorded species with taxonomic notes (Lepidoptera: Gelechiidae). Zootaxa. 2367(1): 1-68""",2010.0
REF92,"""Karsholt O. et al. (2023). Overview of the Gelechiidae moths (Lepidoptera) of Krk Island Croatia: diversity distribution and ecological insights. Gortania Botanica Zoologia. 45: 95-124""",2023.0
REF93,"""Buthelezi N. et al. (2012). The groundnut leaf miner collected from South Africa is identified by mtDNA CO1 gene analysis as the Australian soybean moth (Aproaerema simplixella)(Walker)(Lepidoptera: Gelechiidae). African Journal of Agricultural Research. 7(38): 5285-5292""",2012.0
REF94,"""Buthelezi N. et al. (2016). Molecular and behavioural evidence suggesting a re-examination of the taxonomy of Aproaerema simplexella (Walker) Aproaerema modicella (Deventer) and Stomopteryx subsecivella Zeller (Lepidoptera: Gelechiidae). African Entomology. 24(1): 16-23""",2016.0
REF95,"""Fibiger M. Agassiz D. (2001). Araeopteron ecphaea a small noctuid moth in the West Palaearctic (Noctuidae: Acontiinae). Nota Lepidopterologica. 24(1): 29-35""",2001.0
REF96,"""Bong-Kyu B. et al. (2003). Revision of Tribe Archipini (Tortricidae: Tortricinae) in Northeast China. Journal of Forestry Research 14 93–102""",2003.0
REF97,"""Hoebeke E.et al. (2008). Archips xylosteana (L.)(Lepidoptera: Tortricidae) a palearctic leafroller new to North America. Proceedings of the Entomological Society of Washington. 110(3): 789-795""",2008.0
REF98,"""Wells B. Minteer C. (2021). Alligatorweed Stem Borer (suggested common name) Arcola malloi Pastrana (Insecta: Lepidoptera: Pyralidae: Phycitinae): EENY764/IN1300 8/2020. EDIS. 2021(1): 4-4""",2021.0
REF99,"""Aldryhim Y. (2008). Greater Date Moth Arenipses sabella Hmps. (Lepidoptera: Pyralidae). In: Capinera J.L. (eds) Encyclopedia of Entomology. Springer Dordrecht. pp 1716-1717""",2008.0
REF100,"""Falck P. et al. (2019). New data on Pyraloidea from the Canary Islands Spain (Lepidoptera: Pyraloidea). SHILAP Revista de Lepidopterologia. 47(185): 33-48""",2019.0
REF101,"""Kambor J. (2022). Apple moth-an occasional pest of Swiss apple orchards. Vignes et Vergers. 54(5): 12-13""",2022.0
REF102,"""Agassiz D. (2004). Cypress trees and their moths. British wildlife. 15(4): 265-268""",2004.0
REF103,"""Moriuti S. (1969). Argyresthiidae (Lepidoptera) of Japan. Bulletin of the University of Osaka Prefecture. 1-50""",1969.0
REF104,"""Kim S. et al. (2025). Five newly recorded species of the genus Argyresthia (Lepidoptera: Argyresthiidae) from Korea. Journal of Asia-Pacific Biodiversity. 18(2): 315-319""",2025.0
REF105,"""Konecna H. Sefrova H. (2014). Morphology biology and control possibilities of two Argyresthia species-A. thuiella and A. trifasciata (Lepidoptera: Argyresthiidae). Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis. 62(3): 529-538""",2014.0
REF106,"""Landry B. et al. (2023). ﻿ The identity of Argyrialacteella (Fabricius 1794)(Lepidoptera Pyraloidea Crambinae) synonyms and related species revealed by morphology and DNA capture in type specimens. ZooKeys. 1146: 1""",2023.0
