SpeciesID,AcceptedSpeciesID,Family,Genus,Species
SP1,SP1,Pieridae,Abaeis,Abaeis nicippe
SP2,SP2,Nepticulidae,Acalyptris,Acalyptris platani
SP3,SP3,Crambidae,Acentria,Acentria ephemerella
SP4,SP4,Erebidae,Achaea,Achaea ablunaris
SP5,SP1057,Limacodidae,Sibine,Acharia apicalis
SP6,SP6,Limacodidae,Acharia,Acharia stimulea
SP7,SP7,Sphingidae,Acherontia,Acherontia lachesis
SP8,SP8,Pyralidae,Achroia,Achroia grisella
SP9,SP9,Crambidae,Achyra,Achyra affinitalis
SP10,SP10,Tortricidae,Acleris,Acleris comariana
SP11,SP11,Tortricidae,Acleris,Acleris forsskaleana
SP12,SP12,Tortricidae,Acleris,Acleris holmiana
SP13,SP13,Tortricidae,Acleris,Acleris rhombana
SP14,SP14,Tortricidae,Acleris,Acleris undulana
SP15,SP15,Tortricidae,Acleris,Acleris variegana
SP16,SP16,Tortricidae,Acleris,Acleris zimmermani
SP17,SP17,Noctuidae,Acontia,Acontia candefacta
SP18,SP18,Noctuidae,Acontia,Acontia crocata
SP19,SP20,Nymphalidae,Acraea,Acraea terpiscore
SP20,SP20,Nymphalidae,Acraea,Acraea terpsicore
SP21,SP21,Pyralidae,Acrobasis,Acrobasis suavella
SP22,SP22,Gracillariidae,Acrocercops,Acrocercops laciniella
SP23,SP23,Glyphipterigidae,Acrolepia,Acrolepia assectella
SP24,SP23,Glyphipterigidae,Acrolepia,Acrolepiopsis assectella
SP25,SP1306,Glyphipterigidae,Acrolepia,Acrolepiopsis jaspidata
SP26,SP26,Glyphipterigidae,Acrolepiopsis,Acrolepiopsis sapporensis
SP27,SP593,Saturniidae,Graellsia,Actias isabellae
SP28,SP28,Saturniidae,Actias,Actias selene
SP29,SP1294,Noctuidae,Chloantha,Actinotia hyperici
SP30,SP30,Tortricidae,Adoxophyes,Adoxophyes privatana
SP31,SP31,Tortricidae,Aethes,Aethes rubiginana
SP32,SP32,Tortricidae,Aethes,Aethes rutilana
SP33,SP33,Tortricidae,Agapeta,Agapeta zoegana
SP34,SP34,Crambidae,Agassiziella,Agassiziella angulipennis
SP35,SP35,Crambidae,Agathodes,Agathodes designalis
SP36,SP36,Erebidae,Aglaonice,Aglaonice hirtipalpis
SP37,SP37,Pyralidae,Aglossa,Aglossa caprealis
SP38,SP39,Pyralidae,Aglossa,Aglossa dimidiata
SP39,SP39,Pyralidae,Aglossa,Aglossa dimidiatus
SP40,SP40,Pyralidae,Aglossa,Aglossa pinguinalis
SP41,SP42,Depressariidae,Agonopterix,Agonopterix alstroemeriana
SP42,SP42,Depressariidae,Agonopterix,Agonopterix alstromeriana
SP43,SP43,Depressariidae,Agonopterix,Agonopterix arenella
SP44,SP44,Depressariidae,Agonopterix,Agonopterix assimilella
SP45,SP44,Depressariidae,Agonopterix,Agonopterix assimillella
SP46,SP46,Depressariidae,Agonopterix,Agonopterix ciliella
SP47,SP47,Depressariidae,Agonopterix,Agonopterix heracliana
SP48,SP48,Depressariidae,Agonopterix,Agonopterix nervosa
SP49,SP49,Depressariidae,Agonopterix,Agonopterix ulicetella
SP50,SP50,Elachistidae,Agonoxena,Agonoxena argaula
SP51,SP51,Elachistidae,Agonoxena,Agonoxena pyrogramma
SP52,SP1312,Nymphalidae,Dione,Agraulis vanillae
SP53,SP53,Sphingidae,Agrius,Agrius cingulata
SP54,SP53,Sphingidae,Agrius,Agrius cingulatus
SP55,SP55,Sphingidae,Agrius,Agrius convolvuli
SP56,SP1231,Noctuidae,Leptologia,Agrochola lota
SP57,SP1232,Noctuidae,Anchoscelis,Agrochola lunosa
SP58,SP58,Noctuidae,Agrotis,Agrotis ipsilon
SP59,SP59,Noctuidae,Agrotis,Agrotis segetum
SP60,SP87,Erebidae,Anomis,Alabama argillacea
SP61,SP61,Alucitidae,Alucita,Alucita objurgatella
SP62,SP62,Tortricidae,Amorbia,Amorbia emigratella
SP63,SP63,Noctuidae,Amphipyra,Amphipyra tragopoginis
SP64,SP64,Pyralidae,Amyelois,Amyelois transitella
SP65,SP65,Noctuidae,Amyna,Amyna axis
SP66,SP66,Noctuidae,Amyna,Amyna natalis
SP67,SP67,Gelechiidae,Anacampsis,Anacampsis humilis
SP68,SP68,Gelechiidae,Anacampsis,Anacampsis populella
SP69,SP668,Geometridae,Iridopsis,Anacamptodes fragilaria
SP70,SP485,Pyralidae,Ephestia,Anagasta kuehniella
SP71,SP71,Crambidae,Anania,Anania hortulata
SP72,SP72,Gelechiidae,Anarsia,Anarsia lineatella
SP73,SP73,Noctuidae,Anarta,Anarta decepta
SP74,SP74,Noctuidae,Anarta,Anarta edwardsii
SP75,SP75,Noctuidae,Anarta,Anarta trifolii
SP76,SP78,Nymphalidae,Anartia,Anartia chrysopelea
SP77,SP77,Nymphalidae,Anartia,Anartia fatima
SP78,SP78,Nymphalidae,Anartia,Anartia lytraea
SP79,SP79,Cosmopterigidae,Anatrachyntis,Anatrachyntis badia
SP80,SP1266,Cosmopterigidae,Pyroderces,Anatrachyntis incertulella
SP81,SP81,Cosmopterigidae,Anatrachyntis,Anatrachyntis rileyi
SP82,SP82,Cosmopterigidae,Anatrachyntis,Anatrachyntis simplex
SP83,SP83,Tortricidae,Ancylis,Ancylis comptana
SP84,SP84,Crambidae,Ancylostomia,Ancylostomia stercorea
SP85,SP206,Crambidae,Bleszynskia,Angustalius malacelloides
SP86,SP86,Gelechiidae,Anisoplaca,Anisoplaca cosmia
SP87,SP87,Erebidae,Anomis,Anomis argillacea
SP88,SP88,Erebidae,Anomis,Anomis erosa
SP89,SP89,Erebidae,Anomis,Anomis flava
SP90,SP1300,Erebidae,Zale,Anomis involuta
SP91,SP91,Erebidae,Anomis,Anomis luridula
SP92,SP92,Erebidae,Anomis,Anomis privata
SP93,SP93,Erebidae,Anomis,Anomis sabulifera
SP94,SP94,Pterophoridae,Anstenoptilia,Anstenoptilia marmarodactyla
SP95,SP95,Saturniidae,Antheraea,Antheraea paphia
SP96,SP96,Saturniidae,Antheraea,Antheraea pernyi
SP97,SP97,Saturniidae,Antheraea,Antheraea polyphemus
SP98,SP98,Saturniidae,Antheraea,Antheraea yamamai
SP99,SP99,Choreutidae,Anthophila,Anthophila fabriciana
SP100,SP100,Choreutidae,Anthophila,Anthophila nemorana
SP101,SP101,Erebidae,Antiblemma,Antiblemma acclinalis
SP102,SP102,Erebidae,Anticarsia,Anticarsia gemmatalis
SP103,SP103,Erebidae,Antichloris,Antichloris eriphia
SP104,SP104,Erebidae,Antichloris,Antichloris steinbachi
SP105,SP105,Erebidae,Antichloris,Antichloris viridis
SP106,SP106,Crambidae,Antigastra,Antigastra catalaunalis
SP107,SP107,Heliozelidae,Antispila,Antispila oinophylla
SP108,SP108,Pyralidae,Anypsipyla,Anypsipyla univitella
SP109,SP109,Noctuidae,Apamea,Apamea crenata
SP110,SP110,Noctuidae,Apamea,Apamea remissa
SP111,SP111,Noctuidae,Apamea,Apamea unanimis
SP112,SP112,Lycaenidae,Aphnaeus,Aphnaeus schistacea
SP113,SP344,Pyralidae,Corcyra,Aphomia cephalonica
SP114,SP889,Pyralidae,Paralipsa,Aphomia gularis
SP115,SP137,Pyralidae,Arenipses,Aphomia sabella
SP116,SP116,Pyralidae,Aphomia,Aphomia sociella
SP117,SP117,Pieridae,Aphrissa,Aphrissa orbis
SP118,SP118,Geometridae,Aplocera,Aplocera efformata
SP119,SP119,Geometridae,Aplocera,Aplocera plagiata
SP120,SP120,Pyralidae,Apomyelois,Apomyelois ceratoniae
SP121,SP121,Erebidae,Apopestes,Apopestes spectrum
SP122,SP122,Pieridae,Appias,Appias lyncida
SP123,SP123,Gelechiidae,Aproaerema,Aproaerema modicella
SP124,SP1286,Gelechiidae,Aproaerema,Aproaerema simplixella
SP125,SP126,Psychidae,Apterona,Apterona crenulella
SP126,SP126,Psychidae,Apterona,Apterona helicoidella
SP127,SP126,Psychidae,Apterona,Apterona helix
SP128,SP128,Noctuidae,Araeopteron,Araeopteron ecphaea
SP129,SP129,Tortricidae,Archips,Archips fuscocupreanus
SP130,SP130,Tortricidae,Archips,Archips oporana
SP131,SP131,Tortricidae,Archips,Archips podana
SP132,SP132,Tortricidae,Archips,Archips rosana
SP133,SP133,Tortricidae,Archips,Archips xylosteana
SP134,SP133,Tortricidae,Archips,Archips xylosteanus
SP135,SP135,Pyralidae,Arcola,Arcola malloi
SP136,SP136,Erebidae,Arcte,Arcte coerula
SP137,SP137,Pyralidae,Arenipses,Arenipses sabella
SP138,SP138,Argyresthiidae,Argyresthia,Argyresthia conjugella
SP139,SP139,Argyresthiidae,Argyresthia,Argyresthia cupressella
SP140,SP140,Argyresthiidae,Argyresthia,Argyresthia laevigatella
SP141,SP141,Argyresthiidae,Argyresthia,Argyresthia pruniella
SP142,SP142,Argyresthiidae,Argyresthia,Argyresthia thuiella
SP143,SP143,Argyresthiidae,Argyresthia,Argyresthia trifasciata
SP144,SP144,Crambidae,Argyria,Argyria centrifugens
SP145,SP145,Crambidae,Argyria,Argyria lacteella
SP146,SP146,Noctuidae,Argyrogramma,Argyrogramma verruca
SP147,SP147,Nymphalidae,Ariadne,Ariadne ariadne
SP148,SP148,Gracillariidae,Aristaea,Aristaea thalassias
SP149,SP149,Gelechiidae,Aristotelia,Aristotelia ivae
SP150,SP1269,Gelechiidae,Monochroa,Aristotelia leptocrossa
SP151,SP151,Erebidae,Artigisa,Artigisa melanephele
SP152,SP152,Zygaenidae,Artona,Artona martini
SP153,SP153,Erebidae,Ascalapha,Ascalapha odorata
SP154,SP154,Cosmopterigidae,Ascalenia,Ascalenia acaciella
SP155,SP155,Crambidae,Asciodes,Asciodes gordialis
SP156,SP155,Crambidae,Asciodes,Asciodes quietalis
SP157,SP157,Erebidae,Asota,Asota ficus
SP158,SP158,Pyralidae,Assara,Assara seminivale
SP159,SP159,Crambidae,Ategumia,Ategumia adipalis
SP160,SP160,Crambidae,Ategumia,Ategumia ebulealis
SP161,SP161,Noctuidae,Athetis,Athetis tenuis
SP162,SP162,Noctuidae,Athetis,Athetis thoracica
SP163,SP163,Gelechiidae,Athrips,Athrips mouffetella
SP164,SP164,Gelechiidae,Athrips,Athrips pruinosella
SP165,SP165,Gelechiidae,Athrips,Athrips rancidella
SP166,SP166,Tortricidae,Auratonota,Auratonota dispersa
SP167,SP1310,Noctuidae,Notioplusia,Autoplusia illustrata
SP168,SP168,Autostichidae,Autosticha,Autosticha kyotensis
SP169,SP169,Autostichidae,Autosticha,Autosticha modicella
SP170,SP170,Autostichidae,Autosticha,Autosticha pelodes
SP171,SP171,Erebidae,Azeta,Azeta repugnalis
SP172,SP172,Tortricidae,Bactra,Bactra minima
SP173,SP173,Tortricidae,Bactra,Bactra philocherda
SP174,SP174,Tortricidae,Bactra,Bactra straminea
SP175,SP175,Tortricidae,Bactra,Bactra venosana
SP176,SP176,Noctuidae,Bagisara,Bagisara repanda
SP177,SP177,Pyralidae,Balanomis,Balanomis encyclia
SP178,SP178,Oecophoridae,Barea,Barea asbolaea
SP179,SP179,Oecophoridae,Barea,Barea codrella
SP180,SP180,Oecophoridae,Barea,Barea confusella
SP181,SP181,Oecophoridae,Barea,Barea consignatella
SP182,SP182,Oecophoridae,Barea,Barea exarcha
SP183,SP183,Oecophoridae,Batia,Batia lunaris
SP184,SP184,Batrachedridae,Batrachedra,Batrachedra amydraula
SP185,SP185,Batrachedridae,Batrachedra,Batrachedra knabi
SP186,SP186,Batrachedridae,Batrachedra,Batrachedra microstigma
SP187,SP187,Batrachedridae,Batrachedra,Batrachedra pinicolella
SP188,SP188,Bedelliidae,Bedellia,Bedellia orchilella
SP189,SP189,Bedelliidae,Bedellia,Bedellia somnulentella
SP190,SP190,Pyralidae,Bema,Bema neuricella
SP191,SP66,Noctuidae,Amyna,Berresa natalis
SP192,SP1304,Cosmopterigidae,Bifascioides,Bifascioides leucomelanellus
SP193,SP193,Gelechiidae,Bilobata,Bilobata subsecivella
SP194,SP194,Blastobasidae,Blastobasis,Blastobasis adustella
SP195,SP195,Blastobasidae,Blastobasis,Blastobasis decolorella
SP196,SP196,Blastobasidae,Blastobasis,Blastobasis glandulella
SP197,SP197,Blastobasidae,Blastobasis,Blastobasis inana
SP198,SP198,Blastobasidae,Blastobasis,Blastobasis lacticolella
SP199,SP199,Blastobasidae,Blastobasis,Blastobasis marmorosella
SP200,SP200,Blastobasidae,Blastobasis,Blastobasis maroccanella
SP201,SP201,Blastobasidae,Blastobasis,Blastobasis rebeli
SP202,SP202,Blastobasidae,Blastobasis,Blastobasis tarda
SP203,SP203,Blastobasidae,Blastobasis,Blastobasis vittata
SP204,SP204,Elachistidae,Blastodacna,Blastodacna atra
SP205,SP205,Erebidae,Bleptina,Bleptina araealis
SP206,SP206,Crambidae,Bleszynskia,Bleszynskia malacelloides
SP207,SP207,Erebidae,Bocana,Bocana manifestalis
SP208,SP208,Crambidae,Bocchoris,Bocchoris fatualis
SP209,SP209,Nepticulidae,Bohemannia,Bohemannia pulverosella
SP210,SP210,Bombycidae,Bombyx,Bombyx mori
SP211,SP211,Hesperiidae,Borbo,Borbo cinnara
SP212,SP212,Oecophoridae,Borkhausenia,Borkhausenia fuscescens
SP213,SP213,Oecophoridae,Borkhausenia,Borkhausenia nefrax
SP214,SP214,Psychidae,Brachycyttarus,Brachycyttarus griseus
SP215,SP215,Pyralidae,Bradyrrhoa,Bradyrrhoa gilveolella
SP216,SP216,Lycaenidae,Brephidium,Brephidium exilis
SP217,SP217,Bucculatricidae,Bucculatrix,Bucculatrix ainsliella
SP218,SP218,Bucculatricidae,Bucculatrix,Bucculatrix chrysanthemella
SP219,SP219,Bucculatricidae,Bucculatrix,Bucculatrix ivella
SP220,SP220,Bucculatricidae,Bucculatrix,Bucculatrix parthenica
SP221,SP221,Bucculatricidae,Bucculatrix,Bucculatrix thurberiella
SP222,SP222,Bucculatricidae,Bucculatrix,Bucculatrix ulmifoliae
SP223,SP223,Tortricidae,Cacocharis,Cacocharis cymotoma
SP224,SP225,Tortricidae,Cacoecimorpha,Cacoeciamorpha pronubana
SP225,SP225,Tortricidae,Cacoecimorpha,Cacoecimorpha pronubana
SP226,SP226,Pyralidae,Cactoblastis,Cactoblastis cactorum
SP227,SP227,Pyralidae,Cactoblastis,Cactoblastis doddi
SP228,SP228,Lycaenidae,Cacyreus,Cacyreus marshalli
SP229,SP229,Pyralidae,Cadra,Cadra calidella
SP230,SP230,Pyralidae,Cadra,Cadra cautella
SP231,SP231,Pyralidae,Cadra,Cadra figulilella
SP232,SP232,Riodinidae,Calephelis,Calephelis virginiensis
SP233,SP233,Noctuidae,Callopistria,Callopistria floridensis
SP234,SP234,Noctuidae,Callopistria,Callopistria jamaicensis
SP235,SP235,Noctuidae,Callopistria,Callopistria maillardi
SP236,SP236,Noctuidae,Calophasia,Calophasia lunula
SP237,SP238,Gracillariidae,Caloptilia,Caloptilia azaleela
SP238,SP238,Gracillariidae,Caloptilia,Caloptilia azaleella
SP239,SP239,Gracillariidae,Caloptilia,Caloptilia coruscans
SP240,SP240,Gracillariidae,Caloptilia,Caloptilia negundella
SP241,SP241,Gracillariidae,Caloptilia,Caloptilia roscipennella
SP242,SP592,Gracillariidae,Gracillaria,Caloptilia syringella
SP243,SP243,Gracillariidae,Caloptilia,Caloptilia triadicae
SP244,SP244,Hesperiidae,Calpodes,Calpodes ethlius
SP245,SP245,Gracillariidae,Cameraria,Cameraria gaultheriella
SP246,SP246,Gracillariidae,Cameraria,Cameraria ohridella
SP247,SP247,Pyralidae,Caphys,Caphys biliniata
SP248,SP248,Tortricidae,Capua,Capua intractana
SP249,SP249,Noctuidae,Caradrina,Caradrina clavipalpis
SP250,SP250,Noctuidae,Caradrina,Caradrina kadenii
SP251,SP251,Noctuidae,Caradrina,Caradrina morpheus
SP252,SP252,Peleopodidae,Carcina,Carcina quercana
SP253,SP253,Sesiidae,Carmenta,Carmenta mimosa
SP254,SP254,Gelechiidae,Carpatolechia,Carpatolechia fugitivella
SP255,SP255,Carposinidae,Carposina,Carposina autologa
SP256,SP256,Carposinidae,Carposina,Carposina neurophorella
SP257,SP257,Carposinidae,Carposina,Carposina sasakii
SP258,SP258,Erebidae,Catocala,Catocala fraxini
SP259,SP259,Pieridae,Catopsilia,Catopsilia pyranthe
SP260,SP260,Psychidae,Cebysa,Cebysa leucotelus
SP261,SP261,Noctuidae,Cerapteryx,Cerapteryx graminis
SP262,SP262,Crambidae,Chabula,Chabula acamasalis
SP263,SP263,Sesiidae,Chamaesphecia,Chamaesphecia crassicornis
SP264,SP264,Sesiidae,Chamaesphecia,Chamaesphecia empiformis
SP265,SP265,Sesiidae,Chamaesphecia,Chamaesphecia mysiniformis
SP266,SP583,Nolidae,Garella,Characoma nilitica
SP267,SP406,Lypusidae,Dasystoma,Cheimophila salicella
SP268,SP268,Geometridae,Chiasmia,Chiasmia aestimaria
SP269,SP269,Crambidae,Chilo,Chilo partellus
SP270,SP270,Crambidae,Chilo,Chilo sacchariphagus
SP271,SP271,Crambidae,Chilo,Chilo suppressalis
SP272,SP272,Noctuidae,Chloridea,Chloridea virescens
SP273,SP273,Geometridae,Chloroclystis,Chloroclystis filata
SP274,SP274,Geometridae,Chloroclystis,Chloroclystis insigillata
SP275,SP275,Geometridae,Chloroclystis,Chloroclystis latifasciata
SP276,SP276,Geometridae,Chloroclystis,Chloroclystis pyrrholopha
SP277,SP912,Geometridae,Pasiphila,Chloroclystis rectangulata
SP278,SP278,Euteliidae,Chlumetia,Chlumetia brevisigna
SP279,SP100,Choreutidae,Anthophila,Choreutis nemorana
SP280,SP280,Choreutidae,Choreutis,Choreutis pariana
SP281,SP281,Choreutidae,Choreutis,Choreutis sexfasciella
SP282,SP282,Tortricidae,Choristoneura,Choristoneura freemani
SP283,SP283,Tortricidae,Choristoneura,Choristoneura rosaceana
SP284,SP284,Gracillariidae,Chrysaster,Chrysaster hagicola
SP285,SP285,Gracillariidae,Chrysaster,Chrysaster ostensackenella
SP286,SP1233,Elachistidae,Chrysoclista,Chrysoclista linneella
SP287,SP287,Noctuidae,Chrysodeixis,Chrysodeixis acuta
SP288,SP288,Noctuidae,Chrysodeixis,Chrysodeixis chalcites
SP289,SP289,Noctuidae,Chrysodeixis,Chrysodeixis eriosoma
SP290,SP290,Gelechiidae,Chrysoesthia,Chrysoesthia drurella
SP291,SP292,Gelechiidae,Chrysoesthia,Chrysoesthia sexgutella
SP292,SP292,Gelechiidae,Chrysoesthia,Chrysoesthia sexguttella
SP293,SP293,Pyralidae,Citripestis,Citripestis eutraphera
SP294,SP294,Tortricidae,Clavigesta,Clavigesta sylvestrana
SP295,SP295,Tortricidae,Clepsis,Clepsis consimilana
SP296,SP296,Tortricidae,Clepsis,Clepsis peritana
SP297,SP297,Tortricidae,Clepsis,Clepsis spectrana
SP298,SP298,Pterophoridae,Cnaemidophorus,Cnaemidophorus rhododactyla
SP299,SP299,Crambidae,Cnaphalocrocis,Cnaphalocrocis medinalis
SP300,SP300,Crambidae,Cnaphalocrocis,Cnaphalocrocis poeyalis
SP301,SP301,Crambidae,Cnaphalocrocis,Cnaphalocrocis trapezalis
SP302,SP302,Tortricidae,Cnephasia,Cnephasia asseclana
SP303,SP302,Tortricidae,Cnephasia,Cnephasia interjectana
SP304,SP304,Tortricidae,Cnephasia,Cnephasia longana
SP305,SP305,Tortricidae,Cnephasia,Cnephasia stephensiana
SP306,SP779,Limacodidae,Monema,Cnidocampa flavescens
SP307,SP308,Tortricidae,Cochylis,Cochylichroa atricapitana
SP308,SP308,Tortricidae,Cochylis,Cochylis atricapitana
SP309,SP309,Coleophoridae,Coleophora,Coleophora alcyonipennella
SP310,SP310,Coleophoridae,Coleophora,Coleophora badiipennella
SP311,SP1234,Coleophoridae,Coleophora,Coleophora bernoulliella
SP312,SP312,Coleophoridae,Coleophora,Coleophora colutella
SP313,SP313,Coleophoridae,Coleophora,Coleophora coracipennella
SP314,SP327,Coleophoridae,Coleophora,Coleophora coxi
SP315,SP315,Coleophoridae,Coleophora,Coleophora deauratella
SP316,SP316,Coleophoridae,Coleophora,Coleophora frischella
SP317,SP323,Coleophoridae,Coleophora,Coleophora fuscedinella
SP318,SP318,Coleophoridae,Coleophora,Coleophora klimeschiella
SP319,SP319,Coleophoridae,Coleophora,Coleophora laricella
SP320,SP320,Coleophoridae,Coleophora,Coleophora limosipennella
SP321,SP321,Coleophoridae,Coleophora,Coleophora mayrella
SP322,SP322,Coleophoridae,Coleophora,Coleophora parthenica
SP323,SP323,Coleophoridae,Coleophora,Coleophora serratella
SP324,SP324,Coleophoridae,Coleophora,Coleophora spinella
SP325,SP325,Coleophoridae,Coleophora,Coleophora spiraeella
SP326,SP326,Coleophoridae,Coleophora,Coleophora striatipennella
SP327,SP327,Coleophoridae,Coleophora,Coleophora texanella
SP328,SP328,Coleophoridae,Coleophora,Coleophora trifolii
SP329,SP329,Coleophoridae,Coleophora,Coleophora versurella
SP330,SP330,Gelechiidae,Coleotechnites,Coleotechnites piceaella
SP331,SP331,Geometridae,Comostolopsis,Comostolopsis germana
SP332,SP332,Pyralidae,Comotia,Comotia torsicornis
SP333,SP333,Noctuidae,Condica,Condica dolorosa
SP334,SP334,Noctuidae,Condica,Condica illecta
SP335,SP335,Noctuidae,Conistra,Conistra rubiginosa
SP336,SP336,Crambidae,Conogethes,Conogethes punctiferalis
SP337,SP337,Gracillariidae,Conopomorpha,Conopomorpha cramerella
SP338,SP339,Gracillariidae,Conopomorpha,Conopomorpha litchiela
SP339,SP339,Gracillariidae,Conopomorpha,Conopomorpha litchiella
SP340,SP340,Gracillariidae,Conopomorpha,Conopomorpha sinensis
SP341,SP341,Saturniidae,Copaxa,Copaxa lavendera
SP342,SP342,Heliozelidae,Coptodisca,Coptodisca juglandiella
SP343,SP343,Heliozelidae,Coptodisca,Coptodisca lucifluella
SP344,SP344,Pyralidae,Corcyra,Corcyra cephalonica
SP345,SP345,Carposinidae,Coscinoptycha,Coscinoptycha improbana
SP346,SP346,Noctuidae,Cosmodes,Cosmodes elegans
SP347,SP347,Cosmopterigidae,Cosmopterix,Cosmopterix attenuatella
SP348,SP348,Cosmopterigidae,Cosmopterix,Cosmopterix feminella
SP349,SP349,Gelechiidae,Crasimorpha,Crasimorpha infuscata
SP350,SP350,Gracillariidae,Cremastobombycia,Cremastobombycia lantanella
SP351,SP352,Crambidae,Crocidolomia,Crocidolomia binotalis
SP352,SP352,Crambidae,Crocidolomia,Crocidolomia pavonana
SP353,SP353,Crambidae,Crocidophora,Crocidophora butleri
SP354,SP354,Tortricidae,Crocidosema,Crocidosema aporema
SP355,SP355,Tortricidae,Crocidosema,Crocidosema lantana
SP356,SP356,Tortricidae,Crocidosema,Crocidosema plebejana
SP357,SP357,Tortricidae,Crocidosema,Crocidosema synneurota
SP358,SP11,Tortricidae,Acleris,Croesia forskaleana
SP359,SP12,Tortricidae,Acleris,Croesia holmiana
SP360,SP360,Noctuidae,Cryphia,Cryphia algae
SP361,SP361,Tineidae,Crypsithyrodes,Crypsithyrodes concolorella
SP362,SP362,Pyralidae,Cryptoblabes,Cryptoblabes adoceta
SP363,SP363,Pyralidae,Cryptoblabes,Cryptoblabes gnidiella
SP364,SP364,Crambidae,Cryptographis,Cryptographis nitidalis
SP365,SP365,Tortricidae,Cryptophlebia,Cryptophlebia illepida
SP366,SP1150,Tortricidae,Thaumatotibia,Cryptophlebia leucotreta
SP367,SP367,Tortricidae,Cryptophlebia,Cryptophlebia ombrodelta
SP368,SP368,Noctuidae,Ctenoplusia,Ctenoplusia albostriata
SP369,SP369,Noctuidae,Ctenoplusia,Ctenoplusia limbirena
SP370,SP370,Noctuidae,Cucullia,Cucullia umbratica
SP371,SP371,Crambidae,Culladia,Culladia cuneiferellus
SP372,SP372,Nymphalidae,Cupha,Cupha erymanthis
SP373,SP373,Lycaenidae,Curetis,Curetis acuta
SP374,SP374,Lycaenidae,Cyclargus,Cyclargus ammon
SP375,SP375,Geometridae,Cyclophora,Cyclophora nanaria
SP376,SP376,Geometridae,Cyclophora,Cyclophora obstataria
SP377,SP377,Crambidae,Cydalima,Cydalima perspectalis
SP378,SP378,Tortricidae,Cydia,Cydia coniferana
SP379,SP1282,Tortricidae,Cydia,Cydia deshaisiana
SP380,SP380,Tortricidae,Cydia,Cydia grunertiana
SP381,SP381,Tortricidae,Cydia,Cydia illutana
SP382,SP382,Tortricidae,Cydia,Cydia interscindana
SP383,SP383,Tortricidae,Cydia,Cydia medicaginis
SP384,SP385,Tortricidae,Cydia,Cydia milleniana
SP385,SP385,Tortricidae,Cydia,Cydia millenniana
SP386,SP597,Tortricidae,Grapholita,Cydia molesta
SP387,SP387,Tortricidae,Cydia,Cydia nigricana
SP388,SP388,Tortricidae,Cydia,Cydia pactolana
SP389,SP389,Tortricidae,Cydia,Cydia pomonella
SP390,SP390,Tortricidae,Cydia,Cydia splendana
SP391,SP391,Tortricidae,Cydia,Cydia strobilella
SP392,SP392,Tortricidae,Cydia,Cydia succedana
SP393,SP393,Tortricidae,Cymolomia,Cymolomia hartigiana
SP394,SP1200,Nymphalidae,Vanessa,Cynthia cardui
SP395,SP1235,Oecophoridae,Callima,Dafa formosella
SP396,SP396,Psychidae,Dahlica,Dahlica lichenella
SP397,SP397,Psychidae,Dahlica,Dahlica triquetrella
SP398,SP398,Nymphalidae,Danaus,Danaus chrysippus
SP399,SP399,Nymphalidae,Danaus,Danaus genutia
SP400,SP400,Nymphalidae,Danaus,Danaus plexippus
SP401,SP401,Sphingidae,Daphnis,Daphnis nerii
SP402,SP1308,Limacodidae,Oxyplax,Darna pallivitta
SP403,SP403,Erebidae,Dasypodia,Dasypodia cymatodes
SP404,SP404,Erebidae,Dasypodia,Dasypodia selenophora
SP405,SP405,Tineidae,Dasyses,Dasyses incrustata
SP406,SP406,Lypusidae,Dasystoma,Dasystoma salicella
SP407,SP407,Pyralidae,Davara,Davara caricae
SP408,SP408,Crambidae,Deanolis,Deanolis sublimbalis
SP409,SP409,Sphingidae,Deilephila,Deilephila elpenor
SP410,SP410,Lasiocampidae,Dendrolimus,Dendrolimus pini
SP411,SP411,Lasiocampidae,Dendrolimus,Dendrolimus sibiricus
SP412,SP412,Lasiocampidae,Dendrolimus,Dendrolimus superans
SP413,SP1236,Depressariidae,Depressaria,Depressaria daucella
SP414,SP414,Depressariidae,Depressaria,Depressaria depressana
SP415,SP1285,Depressariidae,Depressaria,Depressaria pastinacella
SP416,SP416,Depressariidae,Depressaria,Depressaria radiella
SP417,SP417,Lycaenidae,Deudorix,Deudorix livia
SP418,SP418,Pterophoridae,Diacrotricha,Diacrotricha fasciola
SP419,SP419,Gracillariidae,Dialectica,Dialectica scalariella
SP420,SP420,Crambidae,Diaphania,Diaphania costata
SP421,SP421,Crambidae,Diaphania,Diaphania hyalinata
SP422,SP422,Crambidae,Diaphania,Diaphania indica
SP423,SP364,Crambidae,Cryptographis,Diaphania nitidalis
SP424,SP377,Crambidae,Cydalima,Diaphania perspectalis
SP425,SP425,Noctuidae,Diastema,Diastema tigris
SP426,SP426,Crambidae,Diatraea,Diatraea grandiosella
SP427,SP427,Crambidae,Diatraea,Diatraea saccharalis
SP428,SP1273,Tortricidae,Syndemis,Dichelia cedricola
SP429,SP429,Tortricidae,Dichelia,Dichelia histrionana
SP430,SP431,Gelechiidae,Dichomeris,Dichomeris acuminata
SP431,SP431,Gelechiidae,Dichomeris,Dichomeris acuminatus
SP432,SP432,Gelechiidae,Dichomeris,Dichomeris aenigmatica
SP433,SP433,Gelechiidae,Dichomeris,Dichomeris heriguronis
SP434,SP434,Gelechiidae,Dichomeris,Dichomeris marginella
SP435,SP435,Gelechiidae,Dichomeris,Dichomeris picrocarpa
