Species;AcceptedSpecies;Genus;Family;Butterfly
Epermenia aequidentellus;Epermenia aequidentellus;Epermenia;Epermeniidae;0
Ephestia elutella;Ephestia elutella;Ephestia;Pyralidae;0
Lantanophaga pusillidactylus;Lantanophaga pusillidactylus;Lantanophaga;Pterophoridae;0
Platyedra subcinerea;Platyedra subcinerea;Platyedra;Gelechiidae;0
Plodia interpunctella;Plodia interpunctella;Plodia;Pyralidae;0
Spoladea recurvalis;Spoladea recurvalis;Spoladea;Crambidae;0
Stigmella aurella;Stigmella aurella;Stigmella;Nepticulidae;0
Perileucoptera coffeella;Leucoptera coffeella;Leucoptera;Lyonetiidae;0
Diplopseustis perieresalis;Diplopseustis perieresalis;Diplopseustis;Crambidae;0
Antheraea pernyi;Antheraea pernyi;Antheraea;Saturniidae;0
Araeopteron ecphaea;Araeopteron ecphaea;Araeopteron;Noctuidae;0
Prays endocarpa;Prays endocarpa;Prays;Praydidae;0
Chrysoclista linneella;Chrysoclista linneela;Chrysoclista;Elachistidae;0
Platynota idaeusalis;Platynota idaeusalis;Platynota;Tortricidae;0
Operophtera brumata;Operophtera brumata;Operophtera;Geometridae;0
Leucoptera sinuella;Leucoptera sinuella;Leucoptera;Lyonetiidae;0
Acleris senescens;Acleris senescens;Acleris;Tortricidae;0
Agonopterix nervosa;Agonopterix nervosa;Agonopterix;Depressariidae;0
Argyrotaenia franciscana;Argyrotaenia franciscana;Argyrotaenia;Tortricidae;0
Clepsis consimilana;Clepsis consimilana;Clepsis;Tortricidae;0
Cydia coniferana;Cydia coniferana;Cydia;Tortricidae;0
Epinotia nanana;Epinotia nanana;Epinotia;Tortricidae;0
Epinotia salicicolana;Epinotia salicicolana;Epinotia;Tortricidae;0
Hedya nubiferana;Hedya nubiferana;Hedya;Tortricidae;0
Pelochrista medullana;Pelochrista medullana;Pelochrista;Tortricidae;0
Noctua comes;Noctua comes;Noctua;Noctuidae;0
Phyllonorycter blancardella;Phyllonorycter blancardella;Phyllonorycter;Gracillariidae;0
Synanthedon myopaeformis;Synanthedon myopaeformis;Synanthedon;Sesiidae;0
Ennomos alniaria;Ennomos alniaria;Ennomos;Geometridae;0
Caloptilia alnivorella;Caloptilia alnivorella;Caloptilia;Gracillariidae;0
Choristoneura carnana;Choristoneura carnana;Choristoneura;Tortricidae;0
Choristoneura retiniana;Choristoneura retiniana;Choristoneura;Tortricidae;0
Anatrachyntis badia;Anatrachyntis badia;Anatrachyntis;Cosmopterigidae;0
