;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference
82;0;Europe;Cerapteryx graminis;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
83;0;Europe;Chrysoesthia sexguttella;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
84;0;Europe;Clepsis consimilana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
85;0;Europe;Cnephasia asseclana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
86;0;Europe;Cnephasia stephensiana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
87;0;Europe;Depressaria depressana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
88;0;Europe;Enarmonia formosana;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
89;0;Europe;Epinotia abbreviana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
90;0;Europe;Anania hortulata;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
91;0;Europe;Gypsonoma aceriana;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
92;0;Europe;Hedya nubiferana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
93;0;Europe;Hedya salicella;Palearctic;2017;Maharramova, S. and Ayberk, H. (2017). New records of leafrollers reared in Azerbaijan (Lepidoptera: Tortricidae). Linz Biol Beitr. 49(1): 677-686
94;0;Europe;Leucoma salicis;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
95;0;Europe;Metzneria paucipunctella;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
96;0;Europe;Pandemis cerasana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
