Species;Continent;Realm;ReferenceYear;Reference
Acontia margana;South America;Neotropical;2006;Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University]
Acontia margana;North America;Panamanian;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Acontia margana;South America;Neotropical;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Acontia margana;North America;Nearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Acontia margana;South America;Panamanian;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Acraea terpsicore;Asia;Oriental;2014;Braby, M. et al. (2014). Spatial distribution and range expansion of the Tawny Coster butterfly, Acraea terpsicore (Linnaeus, 1758) (Lepidoptera: Nymphalidae), in South-East Asia and Australia. Insect Conservation Diversity. 7: 132-143
Acraea terpsicore;Asia;Oriental;2021;Chowdhury, S. et al. (2021). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27(3): 402-415
Acrobasis suavella;Europe;Palearctic;2021;Boyes, D. et al. (2021). The genome sequence of the sycamore, Acronicta aceris (Linnaeus, 1758). Wellcome Open Research. 6: 326
Acrobasis suavella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acrocercops laciniella;Australia;Australian;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47
Acrocercops laciniella;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Acrolepia assectella;Europe;Palearctic;2007;Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353
Acrolepia jaspidata;South America;Neotropical;2016;Gaedike, R. (2016). New and poorly known Acrolepiinae from the Palaearctic, Afrotropical, Neotropical and Oriental regions (Lepidoptera: Glyphipterigidae). Contributions to Entomology. 66(2): 257-264
Acrolepiopsis sapporensis;Asia;Palearctic;2007;Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353
Acrolepiopsis sapporensis;Asia;Sino-Japanese;2007;Landry, J. (2007). Taxonomic review of the leek moth genus Acrolepiopsis (Lepidoptera: Acrolepiidae) in North America. The Canadian Entomologist. 139: 319-353
Acrolepiopsis sapporensis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Actias selene;Asia;Oriental;2007;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213
Actias selene;Asia;Oriental;2016;Chutia, B. et al. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland, India. Environment Conservation Journal. 17(1): 41-45
Actias selene;Asia;Palearctic;2007;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213
Actias selene;Asia;Saharo-Arabian;2007;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213
Actias selene;Asia;Sino-Japanese;2007;Choldumrongkul, S. et al. (2007). Geographical distribution and status of Actias Moths in Thailand. Walailak Journal of Science and Technology (WJST). 4(2): 203-213
Actias selene;Asia;Sino-Japanese;2016;Chutia, B. et al. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland, India. Environment Conservation Journal. 17(1): 41-45
Adoxophyes privatana;Asia;Oriental;2012;Lok, A. et al. (2012). The Native Fauna of the Native Garden at Hortpark: Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies. Raffles Museum of Biodiversity Research, National University of Singapore and Centre for Urban Greenery and Ecology, National Parks Board. Singapore
Adoxophyes privatana;Asia;Sino-Japanese;2012;Lok, A. et al. (2012). The Native Fauna of the Native Garden at Hortpark: Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies. Raffles Museum of Biodiversity Research, National University of Singapore and Centre for Urban Greenery and Ecology, National Parks Board. Singapore
Aethes rubiginana;Europe;Palearctic;2003;Trematerra, P., Jel, J. (2003). Aethes rubiginana (Walsingham, 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer, 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110
Aethes rubiginana;Africa;Saharo-Arabian;2003;Trematerra, P., Jel, J. (2003). Aethes rubiginana (Walsingham, 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer, 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110
Aethes rutilana;North America;Nearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Aethes rutilana;Asia;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Aethes rutilana;Europe;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Agapeta zoegana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Anatrachyntis rileyi;Africa;Afrotropical;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Anatrachyntis rileyi;Australia;Australian;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Agassiziella angulipennis;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agassiziella angulipennis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agathodes designalis;North America;Nearctic;2018;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617
Agathodes designalis;South America;Neotropical;2018;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617
Agathodes designalis;South America;Panamanian;2018;Perez, C. et al. (2018). Agathodes designalis (Guenee, 1854) from Gibraltar - an adventive species new to Europe (Lepidoptera: Crambidae, Spilomelinae). SHILAP Revista de Lepidopterologia. 46(184): 615-617
Agathodes designalis;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Agathodes designalis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Aglais io;Europe;Palearctic;2018;Nazari, V. et al. (2018). The European Peacock butterfly, Aglais io (Linnaeus, 1758) in North America (Lepidoptera: Nymphalidae). News of The Lepidopterists Society. 60(3): 128-129
Aglais io;Asia;Palearctic;2018;Nazari, V. et al. (2018). The European Peacock butterfly, Aglais io (Linnaeus, 1758) in North America (Lepidoptera: Nymphalidae). News of The Lepidopterists Society. 60(3): 128-129
Anatrachyntis rileyi;Europe;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Apomyelois ceratoniae;Asia;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Aglaonice hirtipalpis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Apomyelois ceratoniae;Asia;Saharo-Arabian;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Archips fuscocupreanus;Asia;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium.
Aglossa caprealis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Aglossa dimidiatus;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Aglossa dimidiatus;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
