Species;Continent;Realm;ReferenceYear;Reference
Herpetogramma licarsisalis;Asia;Sino-Japanese;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Idaea inquinata;Asia;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx fluctuosalis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx fluctuosalis;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Idaea inquinata;Europe;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx obscuralis;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx polydectalis;Australia;Australian;2019;Purcell, M. et al. (2019). Exploration for candidate biological control agents of the submerged aquatic weed Hydrilla verticillata, in Asia and Australia 1996-2013. BioControl. 64: 233-247
Idaea inquinata;Africa;Saharo-Arabian;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Keiferia lycopersicella;South America;Neotropical;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx polydectalis;Asia;Oriental;2019;Purcell, M. et al. (2019). Exploration for candidate biological control agents of the submerged aquatic weed Hydrilla verticillata, in Asia and Australia 1996-2013. BioControl. 64: 233-247
Lozotaenia cedrivora;Africa;Afrotropical;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx polydectalis;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parasa lepida;Asia;Oriental;2007;Yamazaki, K. et al. (2007). An analysis of spatial distribution in the exotic slug caterpillar Parasa lepida (Cramer)(Lepidoptera: Limacodidae) at an urban coastal site in central Japan. The Pan-Pacific Entomologist. 83(3): 193-199
Parasa lepida;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parasa lepida;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parascotia fuliginaria;Europe;Palearctic;1991;Mikkola, K. et al. (1991). Zoogeography of the Holarctic species of the Noctuidae (Lepidoptera): impoftance of the Beringian refuge. Entomologica Fennica. 2(3): 157-173
Parascotia fuliginaria;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Paraswammerdamia albicapitella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Paraswammerdamia lutarea;Asia;Palearctic;2019;Na, S. et al. (2019). Taxonomic review of the genus Swammerdamia Hubner (Lepidoptera: Yponomeutidae) from Korea. Journal of Asia-Pacific Biodiversity. 12(1): 74-78
Paraswammerdamia lutarea;Europe;Palearctic;1964;Zwolfer, H. (1964). Notes on the parasites of Swammerdamia lutarea Hw. and S. caesiella Hb.(Lep. Hyponomeutidae) in central Europe. Commonwealth Institute of Biological Control Technical Bulletin. 4: 121-146
Paraswammerdamia lutarea;Europe;Palearctic;2019;Na, S. et al. (2019). Taxonomic review of the genus Swammerdamia Hubner (Lepidoptera: Yponomeutidae) from Korea. Journal of Asia-Pacific Biodiversity. 12(1): 74-78
Paraswammerdamia lutarea;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lozotaenia cedrivora;Africa;Saharo-Arabian;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Macaria liturata;Europe;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Ocnerostoma piniariella;Europe;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Operophtera brumata;Europe;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx bilinealis;Asia;Oriental;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx diminutalis;Africa;Afrotropical;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parectopa alysidota;Australia;Australian;1980;van den Berg, M. (1980). Natural enemies of Acacia cyclops A. Cunn ex G. Don and Acacia saligna (Labill.) Wendl. in Western Australia. I. Lepidoptera. Phytophylactica. 12(3): 165-167
Parectopa robiniella;North America;Nearctic;2014;Baugnee, J. (2014). Parectopa robiniella (Lepidoptera: Gracillariidae), a leafminer of black locust Robinia pseudoacacia, new to the Belgian fauna. Phegea. 42(3): 55-57
Parectopa robiniella;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pareuchaetes insulata;North America;Nearctic;1993;Kluge, R., Caldwell, P. (1993). Host Specificity of Parachaetes insulata (Lepidoptera: Arctiidae), a Biological Control Agent for Chromolaena odorata (Compositae). Entomophaga. 38(4): 451-457
Pareuchaetes insulata;South America;Neotropical;1993;Kluge, R., Caldwell, P. (1993). Host Specificity of Parachaetes insulata (Lepidoptera: Arctiidae), a Biological Control Agent for Chromolaena odorata (Compositae). Entomophaga. 38(4): 451-457
Pareuchaetes insulata;North America;Panamanian;1993;Kluge, R., Caldwell, P. (1993). Host Specificity of Parachaetes insulata (Lepidoptera: Arctiidae), a Biological Control Agent for Chromolaena odorata (Compositae). Entomophaga. 38(4): 451-457
Pareuchaetes insulata;South America;Panamanian;1993;Kluge, R., Caldwell, P. (1993). Host Specificity of Parachaetes insulata (Lepidoptera: Arctiidae), a Biological Control Agent for Chromolaena odorata (Compositae). Entomophaga. 38(4): 451-457
Pareuchaetes insulata;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pareuchaetes pseudoinsulata;South America;Neotropical;1982;Cock, M., Holloway, J. (1982). The history of, and prospects for, the biological control of Chromolaena odorata (Compositae) by Pareuchaetes pseudoinsulata Rego Barros and allies (Lepidoptera: Arctiidae). Bulletin of Entomological Research. 72(2): 193-205
Parochmastis hilderi;Australia;Australian;1998;Smithers, C. (1998). A species list and bibliography of the insects recorded from Norfolk Island. Technical Reports of the Australian Museum. 13: 1-55
Parochmastis hilderi;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pasiphila rectangulata;Asia;Palearctic;2005;Maier, C. (2005). Hosts, pattern of seasonal emergence and flight, and new distributional records of palearctic Pasiphila rectangulata (Lepidoptera: Geometridae) in the northeastern United States. Annals of the Entomological Society of America. 98(2): 214-218
Pasiphila rectangulata;Europe;Palearctic;2005;Maier, C. (2005). Hosts, pattern of seasonal emergence and flight, and new distributional records of palearctic Pasiphila rectangulata (Lepidoptera: Geometridae) in the northeastern United States. Annals of the Entomological Society of America. 98(2): 214-218
Pasiphila rectangulata;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx diminutalis;Asia;Oriental;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Paysandisia archon;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pectinophora fusculella;Oceania;Oceanian;1900;Pagenstecher, A. (1900). Die Lepidopterenfauna des Bismarckarchipels. Mit Berucksichtigung der thiergeographischen und biologischen Verhaltnisse systematisch dargestellt. Zoologica. 12(29)
Pectinophora gossypiella;Asia;Oriental;2023;Matheson, P. et al. (2023). Genome-wide analysis reveals distinct global populations of pink bollworm (Pectinophora gossypiella). Scientific Reports. 13(1): 11762
Pectinophora gossypiella;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pectinophora gossypiella;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pempelia genistella;Europe;Palearctic;1996;Yoshioka, E., Conant, P. (1996). Biological control of gorse in Hawaii. Proceedings of the IX International Symposium on Biological Control of Weeds. 371-375
Pempelia genistella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Penicillaria jocosatrix;Asia;Oriental;2010;Sivasankaran, K. et al. (2010). A survey of Euteliinae (Lepidoptera: Noctuidae) of Nilgiris, Tamil Nadu, India. Entomon. 35(3): 175-182
Penicillaria jocosatrix;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Penicillaria jocosatrix;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pennisetia hylaeiformis;Asia;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Pennisetia hylaeiformis;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Pennisetia hylaeiformis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx diminutalis;Asia;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Pericyma cruegeri;Australia;Australian;2020;Ekka, R. et al. (2020). Outbreak of Poinciana looper moth, Pericyma cruegeri (Butler)(Lepidoptera: Erebidae) in the Korba district of Chhattisgarh. Journal of Pharmacognosy and Phytochemistry. 9(4S): 704-709
Pericyma cruegeri;Oceania;Oceanian;2020;Ekka, R. et al. (2020). Outbreak of Poinciana looper moth, Pericyma cruegeri (Butler)(Lepidoptera: Erebidae) in the Korba district of Chhattisgarh. Journal of Pharmacognosy and Phytochemistry. 9(4S): 704-709
Pericyma cruegeri;Asia;Oriental;2020;Ekka, R. et al. (2020). Outbreak of Poinciana looper moth, Pericyma cruegeri (Butler)(Lepidoptera: Erebidae) in the Korba district of Chhattisgarh. Journal of Pharmacognosy and Phytochemistry. 9(4S): 704-709
Pericyma cruegeri;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pericyma cruegeri;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Peridroma saucia;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Periploca orichalcella;North America;Nearctic;1969;Hodges, R. (1969). Nearctic Walshiidae: notes and new taxa (Lepidoptera: Gelechioidea). Smithsonian Contributions To Zoology. 18: 1-30
Periploca orichalcella;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Perittia herrichiella;Europe;Palearctic;1995;Kaila, L. (1995). A Revision Of The North American Perittia (Onceroptila), With First Nearctic Records Of The Genus Mendesia (Elachistidae). Journal of the Lepidopterists Society. 49(3): 208-222
Perittia herrichiella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Perittia lonicerae;Asia;Palearctic;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Perittia lonicerae;Asia;Sino-Japanese;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Perixera illepidaria;Oceania;Oceanian;2014;Kumar, V. et al. (2014). Outbreak of the looper, Perixera illepidaria (Lepidoptera: Geometridae) on litchi, Litchi chinensis (Sapindales: Sapindaceae)-a new pest record from India. Florida Entomologist. 97(1): 22-29
Perixera illepidaria;Asia;Oriental;2014;Kumar, V. et al. (2014). Outbreak of the looper, Perixera illepidaria (Lepidoptera: Geometridae) on litchi, Litchi chinensis (Sapindales: Sapindaceae)-a new pest record from India. Florida Entomologist. 97(1): 22-29
Perizoma alchemillata;Asia;Palearctic;1977;Morris, R., Bolte, K. (1977). The European Species Perizoma alchemillata (the Small Rivulet (BR.))(Lepidoptera: Geometridae) in Newfoundland). The Canadian Entomologist. 109(3): 385-387
Perizoma alchemillata;Europe;Palearctic;1977;Morris, R., Bolte, K. (1977). The European Species Perizoma alchemillata (the Small Rivulet (BR.))(Lepidoptera: Geometridae) in Newfoundland). The Canadian Entomologist. 109(3): 385-387
Perizoma alchemillata;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx diminutalis;Asia;Sino-Japanese;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Phalaenoides glycinae;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phereoeca allutella;Africa;Afrotropical;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Phereoeca allutella;Africa;Madagascan;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Phereoeca allutella;Oceania;Oceanian;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Phereoeca allutella;Asia;Oriental;1978;Zimmerman, E. (1978). Insects of Hawaii. Vol. 9 Microlepidoptera. Part I. The University Press of Hawaii, Honolulu, Hawaii, United States of America
Phereoeca allutella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phereoeca praecox;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Philobota chionoptera;Australia;Australian;2013;Gerard, P. (2013). Observations on Philobota sp (Lepidoptera Oecophoridae) near Hamilton in 2012. New Zealand Plant Protection. 66: 148-152
Philobota chionoptera;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phobetron hipparchia;South America;Neotropical;1996;Gustafsson, B. (1996). Nigra fjiirilsarter importerade till Sverige med bananer. Entomologisk Tidskrift. 117(3): 123-124
Phobetron hipparchia;North America;Panamanian;1996;Gustafsson, B. (1996). Nigra fjiirilsarter importerade till Sverige med bananer. Entomologisk Tidskrift. 117(3): 123-124
Phobetron hipparchia;North America;Nearctic;1996;Gustafsson, B. (1996). Nigra fjiirilsarter importerade till Sverige med bananer. Entomologisk Tidskrift. 117(3): 123-124
Phoebis agarithe;North America;Nearctic;1986;Scott, J. (1986). Distribution of Caribbean Butterflies. Papilio. 3: 1-26
Phoebis agarithe;South America;Neotropical;1986;Scott, J. (1986). Distribution of Caribbean Butterflies. Papilio. 3: 1-26
Phoebis agarithe;North America;Panamanian;1986;Scott, J. (1986). Distribution of Caribbean Butterflies. Papilio. 3: 1-26
Phoebis agarithe;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phoebis agarithe;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phrissogonus laticostata;Australia;Australian;2004;McQuillan, P. (2004). An overview of the Tasmanian geometrid moth fauna (Lepidoptera: Geometridae) and its conservation status. Journal of Insect Conservation. 8(2): 209-220
Phtheochroa pulvillana;Asia;Palearctic;2022;Fazekas I. (2022). A synopsis of the bionomics and geographical distribution of Phtheochroa species in Hungary (Lepidoptera: Tortricidae, Cochylini). Lepidopterologica Hungarica. 18(1): 23-43
Phtheochroa pulvillana;Europe;Palearctic;2022;Fazekas I. (2022). A synopsis of the bionomics and geographical distribution of Phtheochroa species in Hungary (Lepidoptera: Tortricidae, Cochylini). Lepidopterologica Hungarica. 18(1): 23-43
Phthorimaea absoluta;South America;Neotropical;2018;Biondi, A. et al. (2018). Ecology, worldwide spread, and management of the invasive South American tomato pinworm, Tuta absoluta: past, present, and future. Annual review of entomology. 63(1): 239-258
Phthorimaea operculella;South America;Neotropical;2013;Kroschel, J., Zegarra, O. (2013). Attract-and-kill as a new strategy for the management of the potato tuber moths Phthorimaea operculella (Zeller) and Symmetrischema tangolias (Gyen) in potato: evaluation of its efficacy under potato field and storage conditions. Pest Management Science. 69(11): 1205-1215
Phthorimaea operculella;South America;Neotropical;2013;Subchev, M. et al. (2013). Seasonal flight of the potato tuber moth, Phthorimaea operculella (Zeller)(Lepidoptera: Gelechiidae) in three regions in Bulgaria established by pheromone traps. Acta Phytopathologica et Entomologica Hungarica. 48(1): 75-86
Phthorimaea operculella;North America;Panamanian;2012;Krsteska, V., Stojanoski, P. (2012) Phthorimaea operculella (Zeller, 1983), in the tobacco agro-ecosystem. In: International Conference on BioScience: Biotechnology and Biodiversity The Forth Joint UNS - PSU, Novi Sad
Phthorimaea operculella;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllocnistis citrella;Asia;Oriental;2000;Urbaneja, A. et al. (2000). Indigenous Natural Enemies Associated with Phyllocnistis citrella (Lepidoptera: Gracillariidae) in Eastern Spain. Biological Control. 18: 199-207
Phyllocnistis citrella;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllocnistis vitegenella;North America;Nearctic;2016;Ureche, C. (2016). First record of a new alien invasive species in Romania: Phyllocnistis vitegenella Clemens (Lepidoptera: Gracillariidae). Acta Oecologica Carpatica. 9: 133-138
Phyllocnistis vitegenella;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter blancardella;Asia;Palearctic;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter blancardella;Europe;Palearctic;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter blancardella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter emberizaepenella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter geniculella;Europe;Palearctic;2012;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham
Parapoynx fluctuosalis;Africa;Afrotropical;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx fluctuosalis;Africa;Madagascan;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx fluctuosalis;Asia;Oriental;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx fluctuosalis;Asia;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Phyllonorycter issikii;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx fluctuosalis;Asia;Sino-Japanese;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Phyllonorycter leucographella;Europe;Palearctic;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter leucographella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter leucographella;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter leucographella;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter medicaginella;Europe;Palearctic;2012;Mishchenko, A., Yefremova, Z. (2012). Phyllonorycter medicaginella (Lepidoptera, Gracillariidae) and its parasitoids (Hymenoptera, Eulophidae) in the Middle Volga River basin. Entomological Review. 92(8): 845-850
Phyllonorycter mespilella;Europe;Palearctic;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter mespilella;Africa;Saharo-Arabian;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter mespilella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter messaniella;Europe;Palearctic;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter messaniella;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Phyllonorycter messaniella;Africa;Saharo-Arabian;2007;Triberti, P. (2007). The Phyllonorycter species from Palaearctic Region feeding on Rosaceae (Lepidoptera, Gracillariidae). Bollettino del Museo Civico di Storia Naturale di Verona. 31: 147-221
Phyllonorycter messaniella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phyllonorycter platani;Europe;Palearctic;2018;Toth, V., Lakatos, F. (2018). Phylogeographic pattern of the plane leaf miner, Phyllonorycter platani (STAUDINGER, 1870)(Lepidoptera: Gracillariidae) in Europe. BMC Evolutionary Biology. 18: 1-12
Phyllonorycter platani;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx obscuralis;North America;Nearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx polydectalis;Australia;Australian;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Physula albipunctilla;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pieris brassicae;Asia;Palearctic;2020;Fuentes, N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41
Pieris brassicae;Europe;Palearctic;2020;Fuentes, N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41
Pieris brassicae;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Parapoynx polydectalis;Oceania;Oceanian;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Parapoynx polydectalis;Asia;Oriental;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Pardasena virgulana;Europe;Palearctic;2020;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.
Pieris canidia;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pieris rapae;Africa;Afrotropical;2014;van Swaay, C. et al. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species. 2014: e.T174353A53720063
Pieris rapae;Africa;Saharo-Arabian;2014;van Swaay, C. et al. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species. 2014: e.T174353A53720063
Pieris rapae;Asia;Palearctic;2010;van Swaay, C. et al. (2010). Pieris rapae (Europe assessment). The IUCN Red List of Threatened Species. 2010: e.T174353A7056010
Pieris rapae;Asia;Palearctic;2014;van Swaay, C. et al. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species. 2014: e.T174353A53720063
Pieris rapae;Europe;Palearctic;2010;van Swaay, C. et al. (2010). Pieris rapae (Europe assessment). The IUCN Red List of Threatened Species. 2010: e.T174353A7056010
Pieris rapae;Europe;Palearctic;2014;van Swaay, C. et al. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species. 2014: e.T174353A53720063
Pieris rapae;Asia;Saharo-Arabian;2010;van Swaay, C. et al. (2010). Pieris rapae (Europe assessment). The IUCN Red List of Threatened Species. 2010: e.T174353A7056010
Pieris rapae;Asia;Saharo-Arabian;2014;van Swaay, C. et al. (2014). Pieris rapae (Mediterranean assessment). The IUCN Red List of Threatened Species. 2014: e.T174353A53720063
Pieris rapae;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pieris rapae;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Piletocera bufalis;North America;Nearctic;2016;Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399
Piletocera bufalis;South America;Neotropical;2016;Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399
Piletocera bufalis;North America;Panamanian;2016;Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399
Piletocera bufalis;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Piletocera bufalis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pilocrocis ramentalis;North America;Nearctic;2016;Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399
Pilocrocis ramentalis;South America;Neotropical;2016;Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399
Pilocrocis ramentalis;North America;Panamanian;2016;Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399
Pilocrocis ramentalis;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Pilocrocis ramentalis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Platyedra subcinerea;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
