AcceptedSpecies
Thyas coronata
Thymelicus lineola
Thymelicus sylvestris
Thyrinteina arnobia
Thysanoplusia orichalcea
Tineola bisselliella
Tinea columbariella
Tinea dubiella
Tinea flavescentella
Tinea murariella
Tinea pallescentella
Tinea pellionella
Tinea translucens
Tirathaba rufivena
Tmolus echion
Tongeia filicaudis
Trachylepidia fructicassiella
Trachypepla indolescens
Triaxomera parasitella
Trichophaga mormopis
Trichophaga tapetzella
Trichoplusia ni
Vittaplusia vittata
Trilocha varians
Trissodoris honorariella
Tucumania tapiacola
Typhonia melana
Tyria jacobaeae
Tyta luctuosa
Unadilla maturella
Uraba lugens
Uresiphita polygonalis
Uresiphita ornithopteralis
Usingeriessa onyxalis
Utetheisa ornatrix
Utetheisa pulchelloides
Vanessa atalanta
Vanessa virginiensis
Vitula biviella
Wheeleria spilodactylus
Xestia c-nigrum
Xestia xanthographa
Xubida infusellus
Xylesthia pruniramiella
Xystrologa grenadella
Yponomeuta cagnagellus
Yponomeuta padella
Yponomeuta plumbella
Ypsolopha dentella
Ypsolophus ustella
Zebronia phenice
Zeiraphera griseana
Zelleria oleastrella
Zeuzera pyrina
Zizina otis
Zizula hylax
Zomariana doxasticana
Zophodia lucidalis
Zygaena orana
